"When I tried to drive, the car does not stop",brakes
Shuttering when accelerating,other
Spongy brake pedal.,brakes
The oil change light comes on and the fan is running full blast.,other
There a loud knocking sound coming from somewhere in the front.,other
Car dies when I stop at a light or stop sign and then nothing happens.,starter
I can't get up to 88 MPH,other
My back seat seatbelt won't lock.,other
The HVAC system is broken in the back of the car.,other
"When I hit the start button to turn everything off, everything stays on.",other
It seems like I have to press the brakes,brakes
While driving I hear lot of grinding and scraping noises when stopping.,brakes
my brakes make a deep grinding metal sound,brakes
The warning indicator light is out.,other
Cannot get the car to turn over.,starter
My car is behaving very weird.,other
My car makes a sputtering noise and does not turn over,starter
Car won’t stop quickly,brakes
The air conditioner only blows cold sometimes.,other
I tried starting my car but it definitely was not starting.,starter
"When I tried to drive, the car made horrible grinding noises.",brakes
"The gas door won't open, and I'm all out of the car.",other
"I can't drive that way, always these bullshitty new technologies...",starter
When I turn the key and nothing happens,starter
Car does not start.,starter
Car dies when I step on the the fourth time.,starter
"It won't go, but it won't turn off either.",other
The driver side window auto function does not feel secure.,other
"I have some noise when I manually check it, it is fine.",other
I'm on the side of the vents doesn't feel any colder than the outside air.,other
I try to start the engine doesn’t power up,starter
The oil change has been performed.,other
I came out from work at the end of the day and the car to turn over.,starter
"This is the third one, and I don't get it.",other
I try to start the engine unless you hit the starter with a hammer.,starter
I have a problem with my blinker fluid.,other
"When I tried to drive, the car made horrible grinding noises.",brakes
"I turn the key, nothing happens.",other
It makes a weird whirring sound every time I try to start the ignition?,starter
My car makes a grinding sound for a few seconds and then won't start the ignition?,starter
68F,other
There isn't an immediate response.,other
"It won't start the engine only to find that the dashboard lights up, but the engine doesn’t power up",starter
The car won't turn off either.,other
"When I drive, I feel like the car is making a clicking noise.",other
"To much technology, and that is ieven getting worse from model to newer model.",other
"I can't put gas in my car if the control says, eg.",other
super frustrating every time I start it,starter
I have some noise when i drive it above 60 mph,other
Brake pedal vibrates,brakes
The brake squeak and any time the slightest pressure is applied to the brake pedal.,brakes
Car does not turn over,starter
There is a lag when I accelerate above 60 mph.,other
My window won't roll up.,other
I hear a rattling noise when I open my rear trunk,other
"When I hit the start button to turn everything off, everything stays on.",other
The car make some squeaking noises when stopping.,brakes
The car pulls to the air coming out of the vents doesn't feel any colder than the outside air.,other
windshield wipers,other
The car make some squeaking noises when I press the brake and the car made horrible grinding noises.,brakes
Car takes too long to stop and sometimes very bumpy.,brakes
My window won't roll up.,other
I tried starting my car starts.,starter
Car takes too long to stop when I press the brakes,brakes
"It takes a long time to start, and if I push the key and nothing happens",starter
I have a problem with my blinker fluid.,other
Brake pads appear less than ¼ inch thick,brakes
There is a bit short these days.,other
the privacy glass between my driver and my seating area doesn't work,other
It makes a sputtering noise and does not start.,starter
My car drifts when driving over painted lines on the side of the car.,other
"When turning, the car does not ever cool down and the fan is running full blast.",other
Then I have to press the brake pedal.,brakes
The other 3 tires report normally.,other
Fuel economy has gotten very bad.,other
My car drifts when driving over painted lines on the road,other
It takes a long time before finally engaging and actually turning on.,starter
Just that odd clicking noise....,starter
"Where's the place, where I need to insert my key to start it.",starter
My battery keeps dying.,other
my brakes make a deep grinding metal sound,brakes
I tried starting my car starts.,starter
Usefulness is vanishing...,other
My car drifts when driving over painted lines on the road,other
I tried starting my car but it definitely was not starting.,starter
Shuttering when accelerating,other
my lights do not work,other
When coming to a complete stop.,brakes
My air conditioning is whistling whenever it's turned on low.,other
The steering wheel shakes when running at speed,other
"A/C is working, but is not blowing out cold air",other
The left rear window only rolls down but does not feel secure.,other
"sometimes, it won't turn on, but it won't turn off either.",other
"Brake pedal engagement varies, sometimes hard sometimes soft",other
My car is behaving very weird.,other
It sputters for a while and never turns over.,starter
Car won’t stop quickly,brakes
Exhaust has a growing crack in it.,other
My tire keeps going flat.,other
I have some noise when i drive it above 60 mph.,other
the flux capacitor is misfiring and I can't get up to 88 MPH,other
The air conditioner only blows cold sometimes.,other
Steering wheel shakes uncontrollably when I open my rear trunk,other
It makes a grinding sound for a few seconds and then nothing happens.,starter
I can hear the starter firing but the engine doesn’t power up,starter
The driver side window auto function does not roll back up.,other
The air conditioner only blows cold sometimes.,other
The car won't start!,other
My car makes a sputtering noise and does not turn over.,starter
"This is the third one, and I hear a grinding noise as I drive.",other
The steering wheel shakes when running at speed,other
Please help ASAP!,starter
Car creates whistle sound each time I start it,starter
It sputters for a few seconds and then nothing happens.,starter
"This must be a sensor issue on this tire, but I'm not sure.",other
Car dies when I step on the the fourth time.,starter
The warning indicator light is out.,other
"If I knew what the problem was, I wouldn't be on some website, I'd be fixing it!!",other
Not so much a grinding noise when stopping.,brakes
The oil change has been performed.,other
"The paint on the menu to return to my car if the control says, eg.",other
Car takes too long to stop and sometimes very bumpy.,brakes
Car takes too long to stop and sometimes very bumpy.,brakes
I have a problem with my blinker fluid.,other
I have a problem with my blinker fluid.,other
It makes a grinding sound for a while and never turns over.,starter
"My car makes a weird whirring sound every time I start my car it just stops again, what is wrong!",starter
Blind Spot Monitoring system will randomly be disabled.,other
I came out from work at the end of the day and the car doesnt start.,starter
Brake pads appear less than ¼ inch thick,brakes
It's an intense upper body workout to stay in one lane on the road,other
"I turn the key in the ignition, I just get a clicking sound - maybe a dead battery?",starter
The other 3 tires report normally.,other
I hear a grinding noise as I drive.,other
"This must be a sensor issue on this tire, but I'm not sure.",other
"I tried starting my car it just stops again, what is wrong!",starter
The warning indicator light is out.,other
My battery keeps dying.,other
It won't start the ignition?,starter
"Car creates whistle sound each time I start my car it just stops again, what is wrong!",starter
That's all good.,other
The oil change light comes on after an oil change has been performed.,other
It then takes several clicks on the menu to return to my car is now a pile of ashes.,other
"This is the third one, and I hear a rattling noise when I accelerate above 60 mph",other
My battery keeps dying.,other
"When I drive, I feel like the car won't turn on, but it kind of won't stop either.",other
The air conditioner only blows cold sometimes.,other
It seems like I have to brake the car does not stop,brakes
There's slack in my steering wheel.,other
"The gas door won't open, and I'm all out of gas.",other
There is a bit short these days.,other
I was working on the menu to return to my previous display which is very unsafe.,other
"Have to cycle the ignition button at least twice before my car it just stops again, what is wrong!",starter
Sometimes when I try to stop when I try to stop the car.,brakes
Steering wheel shakes when running at speed,other
I can hear the starter with a hammer.,starter
My back seat seatbelt won't lock.,other
I think my car,other
Blind Spot Monitoring system will randomly be disabled.,other
Everything seems to be wearing down at different rates.,other
Car doesn't always start when it's low on blinker fluid,starter
It sputters for a while and never turns over.,starter
The pedal feels squishy and pulses when I try to brake again.,brakes
I think my alignment is bad.,other
And the brake pedal.,brakes
Dashboard computer reboots when traveling above 80mph,other
Not so much a grinding noise,brakes
The seat belt itself on the road,other
My battery keeps dying.,other
My cars breaks make noises and also take more time to stop.,brakes
It won't start again.,starter
"When I tried to drive, the car comes to a stop at a stop light, I press on the brake pedal",brakes
Cannot get the car would make a click click clicking sound - maybe a dead battery?,starter
Car creates whistle sound each time I start it,starter
Customer states breaks make a squeaking noise whenever I try to brake the car,brakes
I can't get up to 88 MPH,other
Metallic scraping or grinding noise when stopping.,brakes
Car won’t stop quickly,brakes
Car won’t stop quickly,brakes
My air conditioning doesn't seem to be something related to the air coming out of gas.,other
It sputters for a while and never turns over.,starter
Car makes a grinding noise when breaking.,brakes
Customer states breaks make a squeaking noise whenever I try to stop,brakes
I keep my foot firmly pressing down on the brake pedal.,brakes
I tried starting my car starts.,starter
I'm not sure if it is the battery three times before the car doesnt start.,starter
I think my alignment is bad.,other
"When I turn the key in the ignition, I just get a clicking sound - maybe a dead battery?",starter
Please help ASAP!,starter
68F,other
"This is the third one, and I don't get it.",other
windshield wipers,other
I tried starting my car but it definitely was not starting.,starter
I have replaced the battery since the lights would come one and the car would not start.,starter
"Steering wheel shakes uncontrollably when I manually check it, it is fine.",other
The air conditioner only blows cold sometimes.,other
It takes a long time before finally engaging and actually turning on.,starter
"When I put the car does not work, you pull the window up, it goes all the way up and then down.",other
Alternator is faulty,starter
I'm hearing a noise and feeling a vibration when I bought the car.,other
